year,location,location_id,plant_area,crops_area,production_value,production,affected_area,lost_area,lost_amount,lost_value,plant_number,crops_number,station_id,temp_mean,temp_max,temp_min,rain_accu,rain_days,windsp_max,winddir_max,gustsp_max,gustdir_max,humid_mean,humid_min,pressure_mean,sunshine_hours,ups_price,mid_price,downs_price,avg_price_kg,amount_kg,total_sales
101,ILA,7,31.82,64.64,22664,1185.98,31.21,7.66,151.405,3291.9,27311,24327,467060,22.6,35.4,8.5,4742.8,248,21.1,170,41.9,360,80.75,45,1009.78,1405.5,0,0,0,0,0,0
101,HSZ,8,80.01,80.01,30070,1573.54,5.44,1.66,38.92,1063.18,116472,116472,467571,22.7,37.1,8.2,2741.2,157,9.9,280,25.5,360,80.17,40,1008.72,1637.5,21.69,20.16,18.51,20.16,47855,896158.21
101,ZMI,9,90.87,90.87,36063,1887.14,30.81,9.87,163.08,4908.86,115001,115001,466950,21.7,32.7,6.8,1960.3,177,24.6,360,35,270,81.92,38,1001.16,1646.6,0,0,0,0,0,0
101,CHW,10,97.73,96.23,47425,2481.69,26.35,6.65,136.497,2097.114,145744,143534,467770,22.7,33.1,8.4,1660.8,124,21,360,33.3,360,79.5,42,1008.8,1907.9,20.46,20.33,19.73,19.8,690.5,14346.81
101,NTC,11,3161.12,3154.22,1092179,57152.22,1283.5,260.08,4728.27,104349.5,3973356,3962976,467650,19.2,30.5,5.6,3090.9,160,14.3,330,31.4,330,83.67,33,900.73,1388.8,34.69,24.66,18.47,25.99,5820112,126663106
101,YUN,12,377.28,372.31,241472,12635.89,254,49.15,1613.865,21168.55,685902,675574,467610,23.7,33.4,11.8,2474,205,18.1,220,33.4,240,80.25,43,1007.32,1242.2,20.46,20.33,19.73,19.8,690.5,14346.81
101,CYI,13,2060.33,2047.33,958149,50138.62,773.5,95.39,2196.737,50294.1,3193963,3173712,467480,23.5,35.1,8.6,2201.3,141,10.7,360,21.6,360,79.36,39,1008.15,1634.3,32.32,23.79,15.99,23.79,202075,4760735
101,PIF,14,3105.05,2960.3,1619426,84742.35,680.24,100.36,2840.936,42501.2,5338838,5093267,467590,25.5,33.5,15.6,2942.2,123,20.5,230,41.1,360,77.17,34,1008.66,1969.5,34.41,22.67,16.21,22.67,2250665,47584468.5
101,TTT,15,456.12,433.77,167396,8759.59,349.37,110.99,2499.059,68441.28,668146,635788,467660,24.4,38.1,11.9,2118.2,161,15.3,200,33.9,210,76,31,1010.85,1503.8,0,0,0,0,0,0
101,HUN,16,490.29,472.94,196692,10292.61,173.28,40.64,1044.099,26291.98,755461,727478,466990,23.3,34.6,10.5,2303,183,15.5,180,26.5,180,76.33,37,1010.03,1433.9,0,0,0,0,0,0
101,PEH,17,3.1,3.1,979,51.24,0,0,0,0,3279,3279,467350,23,33.9,10.3,921.9,110,20.6,360,35.9,340,80.45,39,1010.66,1761.3,0,0,0,0,0,0
101,KEL,18,3.45,3.45,878,45.92,0,0,0,0,4522,4522,466940,22.6,36.4,8.9,3908.8,229,19.4,250,32.8,360,77.75,39,1009.53,1276.2,45.78,35.01,24.66,35.09,4465114,124972785.5
101,HSC,19,5.71,5.67,2389,125.03,1.9,0.23,5.1415,115.1361,8911,8849,466920,23.2,38.3,8.6,2910.3,179,10.3,290,22.2,280,74.83,31,1011.61,1257,21.69,20.16,18.51,20.16,47855,896158.21
101,CYC,20,54.76,54.76,18104,947.37,20,2,37.8,567,82140,82140,467530,11.5,23.2,0.6,5166.3,174,7.5,360,19.6,350,87.83,17,763.82,1318.4,32.32,23.79,15.99,23.79,202075,4760735
101,KNH,21,0,0,0,0,0,0,0,0,0,0,467110,21.1,37,4.7,893.2,125,9.5,350,20.9,350,80.08,25,1009.72,1666.7,0,0,0,0,0,0
102,NTP,1,66.33,61.12,20208,902.55,16.19,5.54,90.3344,2014.302,87339,78854,466900,22.7,38.1,7.5,2343.5,141,13.2,360,32.3,300,77.67,34,1011.42,1540.9,0,0,0,0,0,0
102,TPE,2,10.79,10.79,4632,206.89,2.06,1.13,23.35,416.99,9140,9140,466910,17.2,31.2,2.2,5205.5,207,26.4,360,45.1,360,89.75,19,921.16,999.5,56.11,40.08,28.61,40.99,7396842,232921103
102,TYN,3,598.53,33.12,7651,341.7,0,0,0,0,725269,719571,466880,23.2,37.2,9.9,2488,172,14,340,31.5,360,71.33,21,1012.12,1497.3,46.38,32.78,24.71,33.89,6641953,184973120
102,TXG,4,938.64,594.01,134207,5994.04,329.77,143.58,1449.215,38627.99,1296286,1285360,467490,23.6,35.1,9.1,2133,140,8.6,360,25.2,350,72.75,19,1002.74,1889.4,37.04,30.06,23.01,31.01,4670803.5,133111375
102,TNN,5,1556.63,931.32,480271,21450.23,65.35,6,111.3016,1042.476,2736560,2666548,467410,24.5,35.7,9.2,1688.5,77,11.4,330,22.5,330,73.75,28,1009.66,2071.6,40.82,28.2,21.11,28.2,1548061.5,42603741.75
102,KHH,6,66.12,1515.39,808968,36130.78,178.8,15.91,388.5939,7171.172,84165,83010,467440,26.4,35.7,12,1688.2,97,10.3,360,21.6,340,74.6,35,1010.86,2312.5,32.8,26.8,22.13,27.07,1130850,32877896.38
102,ILA,7,36.13,65.29,27580,1231.79,52.44,26.33,543.376,10624.4,26461,24053,467060,23,34.1,10.6,4265.1,223,19.6,300,37.9,360,79.92,41,1010.71,1468.3,34.67,26.1,18.15,25.99,469732.5,12161436.38
102,HSZ,8,86.14,86.14,31156,1391.52,17.92,8.6,164.99,3793.72,125568,125568,467571,22.9,36.2,8.5,2043.5,140,10.8,360,29.7,340,75.5,24,1009.73,1779.6,23.09,22.22,21.13,22.22,6755.5,141140.9
102,ZMI,9,89.72,89.72,44854,2003.32,36.71,10.67,147.7742,4133.672,123201,123201,466950,21.9,32.7,8.5,2020.4,157,38.7,320,59.4,340,83.25,41,1002.25,1723.2,0,0,0,0,0,0
102,CHW,10,110.22,105.17,59254,2646.43,13.38,3.11,103.5115,2503.921,163930,156405,467770,22.8,33.7,9.5,1921.4,110,22.9,360,31.9,360,78.58,31,1009.78,2014.3,27.05,26.72,26.12,26.5,626.5,15991.14
102,NTC,11,3089.15,3085.3,1284930,57388.59,1309.2,357.34,6862.609,118437,3873464,3866699,467650,19.3,33,5.9,2933.8,147,16.6,340,43.8,340,82.92,23,901.78,1542.1,37.04,30.06,23.01,31.01,4670803.5,133111375
102,YUN,12,409.86,405.12,267462,11945.6,90.86,15.84,397.0217,7048.878,708759,700227,467610,23.9,36.2,12.5,1972,197,17.2,220,32.8,360,78.17,38,1008.37,1385.2,27.05,26.72,26.12,26.5,626.5,15991.14
102,CYI,13,2063.34,2053.84,1030630,46030.8,419.69,76.26,1889.823,37819.55,3215158,3198887,467480,23.4,36.2,6.2,2580.5,117,12.3,360,22.5,360,78.75,29,1009.31,1957.5,40.51,30.88,21.42,30.88,190725,5662370
102,PIF,14,3135.81,2947.79,1800591,80419.44,642.44,155.84,4473.049,67259.4,5383784,5065925,467590,25.6,34.3,15.2,2098.1,121,19.1,280,45.5,280,73.83,33,1009.93,2264.7,40.82,28.2,21.11,28.2,1548061.5,42603741.75
102,TTT,15,486.74,465.05,231670,10347.04,377.91,61.71,1241.344,31478.94,718759,687956,467660,24.8,36.8,11.8,1867.8,146,8.8,210,24.5,210,74.33,35,1011.91,1703.6,40.37,28.25,20.39,28.4,102410,2924191
102,HUN,16,545.08,538.9,265728,11868.16,46,5.8,121.32,1826.18,837966,828426,466990,23.5,36.3,11.3,1970.9,168,13.9,220,23.7,230,75.5,39,1011.18,1566.1,34.67,26.1,18.15,25.99,469732.5,12161436.38
102,PEH,17,3.12,3.12,1138,50.81,0,0,0,0,3267,3267,467350,23.3,34.5,11.6,947,98,12.1,250,27.1,360,79.09,33,1011.7,1810.3,0,0,0,0,0,0
102,KEL,18,3.6,3.6,1196,53.43,0.33,0.13,1.4069,49.2401,4705,4705,466940,22.7,36.2,9.7,3768.2,200,29.8,230,50,360,77.33,33,1010.42,1345.7,47.26,36.07,26.23,36.34,4320006,141090632
102,HSC,19,6.59,6.57,2731,121.96,0.4,0.3,4.35,108.75,10285,10254,466920,23.4,39.3,9.9,2541.4,158,14.7,1000,33.8,320,70.33,32,1012.6,1261.4,23.09,22.22,21.13,22.22,6755.5,141140.9
102,CYC,20,41.04,41.04,17183,767.43,31.2,3.98,74.7093,1391.207,61560,61560,467530,11.5,22.2,-1.8,4966.1,174,9.5,310,29.7,300,85.67,14,765.1,1393.2,40.51,30.88,21.42,30.88,190725,5662370
102,KNH,21,0,0,0,0,0,0,0,0,0,0,467110,21.8,35,7,1400.8,107,15.4,270,26.3,280,78.27,29,1010.07,1865.5,0,0,0,0,0,0
